# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 29 06:57:43 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN pl_name:        Planet Name
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
#
rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,pl_name,pl_massj
1,11 Com,b,326.03000000,1.290000,0.231000,19.40000,110.62,2.70,11 Com b,
2,11 UMi,b,516.22000000,1.540000,0.080000,10.50000,119.47,1.80,11 UMi b,
3,14 And,b,185.84000000,0.830000,0.000000,4.80000,76.39,2.20,14 And b,
4,14 Her,b,1773.40000000,2.770000,0.369000,4.64000,18.15,0.90,14 Her b,
5,16 Cyg B,b,798.50000000,1.681000,0.681000,1.68000,21.41,0.99,16 Cyg B b,
6,18 Del,b,993.30000000,2.600000,0.080000,10.30000,73.10,2.30,18 Del b,
7,1RXS J160929.1-210524,b,,330.000000,,8.00000,145.00,0.85,1RXS J160929.1-210524 b,8.00000
8,24 Sex,b,452.80000000,1.333000,0.090000,1.99000,74.79,1.54,24 Sex b,
9,24 Sex,c,883.00000000,2.080000,0.290000,0.86000,74.79,1.54,24 Sex c,
10,2MASS J01225093-2439505,b,,52.000000,,24.50000,36.00,0.40,2MASS J01225093-2439505 b,24.50000
11,2MASS J02192210-3925225,b,,156.000000,,13.90000,39.40,0.11,2MASS J02192210-3925225 b,13.90000
12,2MASS J04414489+2301513,b,,15.000000,,7.50000,140.00,0.02,2MASS J04414489+2301513 b,7.50000
13,2MASS J12073346-3932539,b,,46.000000,,4.00000,52.40,0.02,2MASS J12073346-3932539 b,4.00000
14,2MASS J19383260+4603591,b,416.00000000,0.920000,,1.90000,,0.48,2MASS J19383260+4603591 b,1.90000
15,2MASS J21402931+1625183 A,b,7336.50000000,,0.260000,20.95000,25.00,0.08,2MASS J21402931+1625183 A b,20.95000
16,30 Ari B,b,335.10000000,0.995000,0.289000,9.88000,39.43,1.16,30 Ari B b,
17,4 UMa,b,269.30000000,0.870000,0.432000,7.10000,77.40,1.23,4 UMa b,
18,42 Dra,b,479.10000000,1.190000,0.380000,3.88000,97.28,0.98,42 Dra b,
19,47 UMa,b,1078.00000000,2.100000,0.032000,2.53000,14.08,1.03,47 UMa b,
20,47 UMa,c,2391.00000000,3.600000,0.098000,0.54000,14.08,1.03,47 UMa c,
21,47 UMa,d,14002.00000000,11.600000,0.160000,1.64000,14.08,1.03,47 UMa d,
22,51 Eri,b,,13.200000,,2.00000,29.40,1.75,51 Eri b,2.00000
23,51 Peg,b,4.23078500,0.052700,0.013000,0.47200,15.36,1.12,51 Peg b,
24,55 Cnc,b,14.65152000,0.115227,0.003400,0.83060,12.53,0.91,55 Cnc b,0.83060
25,55 Cnc,c,44.41750000,0.241376,0.020000,0.17140,12.53,0.91,55 Cnc c,0.17140
26,55 Cnc,d,4825.00000000,5.503000,0.019000,3.87800,12.53,0.91,55 Cnc d,3.87800
27,55 Cnc,e,,0.015440,,0.02542,12.53,0.91,55 Cnc e,0.02542
28,55 Cnc,f,262.00000000,0.788000,0.305000,0.14100,12.53,0.91,55 Cnc f,0.14100
29,6 Lyn,b,874.77400000,2.180000,0.125000,2.21000,56.95,1.70,6 Lyn b,
30,61 Vir,b,4.21500000,0.050201,0.120000,0.01600,8.52,0.94,61 Vir b,
31,61 Vir,c,38.02100000,0.217500,0.140000,0.05700,8.52,0.94,61 Vir c,
32,61 Vir,d,123.01000000,0.476000,0.350000,0.07200,8.52,0.94,61 Vir d,
33,7 CMa,b,796.00000000,1.930000,0.220000,2.46000,19.84,1.52,7 CMa b,
34,70 Vir,b,116.69260000,0.481000,0.399000,7.40000,18.11,1.09,70 Vir b,
35,75 Cet,b,691.90000000,2.100000,0.117000,3.00000,81.50,2.49,75 Cet b,
36,8 UMi,b,93.40000000,0.490000,0.060000,1.50000,159.10,1.80,8 UMi b,
37,81 Cet,b,952.70000000,2.500000,0.206000,5.30000,97.18,2.40,81 Cet b,
38,91 Aqr,b,181.40000000,0.700000,0.027000,3.20000,45.52,1.40,91 Aqr b,
39,AB Pic,b,,260.000000,,13.50000,45.52,,AB Pic b,13.50000
40,BD+14 4559,b,268.94000000,0.777000,0.290000,1.47000,50.03,0.86,BD+14 4559 b,
41,BD+15 2375,b,153.22000000,0.576000,0.001000,1.06100,774.00,1.08,BD+15 2375 b,
42,BD+15 2940,b,137.48000000,0.539000,0.260000,1.11000,175.44,1.10,BD+15 2940 b,
43,BD+20 1790,b,7.78287000,0.066000,0.220000,6.37000,25.40,0.63,BD+20 1790 b,
44,BD+20 2457,b,379.63000000,1.450000,0.150000,21.42000,,2.80,BD+20 2457 b,
45,BD+20 2457,c,621.99000000,2.010000,0.180000,12.47000,,2.80,BD+20 2457 c,
46,BD+20 274,b,578.20000000,1.300000,0.210000,4.20000,,0.80,BD+20 274 b,
47,BD+48 738,b,392.60000000,1.000000,0.200000,0.91000,,0.74,BD+48 738 b,
48,BD+49 828,b,2590.00000000,4.200000,0.350000,1.60000,,1.52,BD+49 828 b,
49,BD-06 1339,b,3.87280000,0.042800,0.000000,0.02700,20.10,0.70,BD-06 1339 b,
50,BD-06 1339,c,125.94000000,0.435000,0.310000,0.17000,20.10,0.70,BD-06 1339 c,
51,BD-08 2823,b,5.60000000,0.056000,0.150000,0.04500,42.09,0.74,BD-08 2823 b,
52,BD-08 2823,c,237.60000000,0.680000,0.190000,0.33000,42.09,0.74,BD-08 2823 c,
53,BD-10 3166,b,3.48777000,0.045200,0.019000,0.45800,80.00,1.01,BD-10 3166 b,
54,BD-11 4672,b,1667.00000000,2.280000,0.050000,0.53000,27.30,0.57,BD-11 4672 b,
55,BD-13 2130,b,714.30000000,2.100000,0.210000,10.60000,766.00,2.40,BD-13 2130 b,
56,BD-17 63,b,655.60000000,1.340000,0.540000,5.10000,37.54,0.74,BD-17 63 b,
57,CFBDSIR J145829+101343,b,10037.50000000,2.600000,,10.50000,23.10,0.02,CFBDSIR J145829+101343 b,10.50000
58,CHXR 73,b,,210.000000,,12.56900,,0.35,CHXR 73 b,12.56900
59,CT Cha,b,,440.000000,,17.00000,165.00,,CT Cha b,17.00000
60,CoRoT-1,b,1.50895570,,0.000000,1.03000,,0.95,CoRoT-1 b,1.03000
61,CoRoT-10,b,13.24060000,0.105500,0.530000,2.75000,345.00,0.89,CoRoT-10 b,2.75000
62,CoRoT-11,b,2.99433000,0.043600,0.000000,2.33000,560.00,1.27,CoRoT-11 b,2.33000
63,CoRoT-12,b,2.82804200,0.040160,0.070000,0.91700,1150.00,1.08,CoRoT-12 b,0.91700
64,CoRoT-13,b,4.03519000,0.051000,0.000000,1.30800,1060.00,1.09,CoRoT-13 b,1.30800
65,CoRoT-14,b,1.51214000,0.027000,0.000000,7.60000,1340.00,1.13,CoRoT-14 b,7.60000
66,CoRoT-16,b,5.35227000,0.061800,0.330000,0.53500,840.00,1.10,CoRoT-16 b,0.53500
67,CoRoT-17,b,3.76810000,0.046100,0.000000,2.43000,920.00,1.04,CoRoT-17 b,2.43000
68,CoRoT-18,b,1.90006930,0.029500,0.080000,3.47000,870.00,0.95,CoRoT-18 b,3.47000
69,CoRoT-19,b,3.89713000,0.051800,0.047000,1.11000,770.00,1.21,CoRoT-19 b,1.11000
70,CoRoT-2,b,1.74299350,0.027980,0.014300,3.47000,200.00,0.96,CoRoT-2 b,3.47000
71,CoRoT-20,b,9.24285000,0.090200,0.562000,4.24000,1230.00,1.14,CoRoT-20 b,4.24000
72,CoRoT-22,b,9.75598000,0.092000,0.077000,0.03800,592.00,1.10,CoRoT-22 b,0.03800
